mssv,namsinh,gioitinh,hieusotuoi,khoahoc,lopsh,hedt,dien_tt,loaitruong,khuvuc,xeploai_diemtt,avxl
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,1998.0,0.0,0.0,11.0,CNTT2016,CQUI,0,THPT,Khu vực 2,2,ENGBT
81591236XPvAibaEXe9a9WHB728zIC+BsRhdRUah,1997.0,1.0,-1.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
6F9BED37XPvAibaEXe9a9WHB728zIB4h7e7yTZjQ,1997.0,1.0,-1.0,11.0,ATTT2016,CQUI,0,THCS&THPT,Khu vực 3,2,ENG01
FF9BCACDXPvAibaEXe9a9WHB728zIL656Mdf6zEw,1995.0,1.0,-3.0,11.0,KHMT2016,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
850C19C2XPvAibaEXe9gcLLHJLBBnZC5o6sMc8cs,1998.0,1.0,0.0,11.0,MTCL2016.1,CLC,0,THPT,Khu vực 1,4,ENG01
D6D49AA7XPvAibaEXe9gcLLHJLBBnRYB6m6WhcfJ,1998.0,0.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2 NT,3,ENG01
0A94E4D0XPvAibaEXe9gcLLHJLBBnRqUfrm4aBzH,1998.0,1.0,0.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 2,2,ENG02
39B20F4DXPvAibaEXe9gcLLHJLBBnc8cdqv19Ylu,1995.0,1.0,-3.0,11.0,HTTT0001,CLC,0,THPT,Khu vực 2,4,ENG01
2900754CXPvAibaEXe9gcLLHJLBBnX1D4yMOsVg0,1998.0,1.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 1,3,ENGBT
043AE465XPvAibaEXe86sbeN0/YCTVJDeWwsGcv7,1998.0,1.0,0.0,11.0,KTPM0001,CQUI,1,THPT,Khu vực 2,1,ENG01
5533DD19XPvAibaEXe86sbeN0/YCTbUKokfc1ORb,1998.0,1.0,0.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 2,3,ENG01
8E862257XPvAibaEXe86sbeN0/YCTScV+FsBuwvo,1998.0,1.0,0.0,11.0,KHMT2016,CQUI,0,THPT,Khu vực 1,3,ENG01
3F21B786XPvAibaEXe86sbeN0/YCTQd15EVD6n3Y,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT,2,ENG01
94D74F41XPvAibaEXe86sbeN0/YCTcr3p20VvmtV,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 3,3,ENG01
7DBFEDECXPvAibaEXe86sbeN0/YCTZqShrWtk4hd,1998.0,1.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 3,4,ENG01
71279AEDXPvAibaEXe86sbeN0/YCTci+47cxm1GJ,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2,2,ENGBT
86CD5F66XPvAibaEXe9WgQQLl7rkkx9vDHxmdt93,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,3,Chuyên,Khu vực 2,3,ENG02
D7470D73XPvAibaEXe9WgQQLl7rkk8KBZBiMtu15,1998.0,1.0,0.0,11.0,KHMT2016,CQUI,0,THPT,Khu vực 2 NT,2,ENG01
178F60F5XPvAibaEXe9WgQQLl7rkk9xNzvD5m8xA,1998.0,1.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2,3,ENGBT
2AB355A3XPvAibaEXe9WgQQLl7rkk9EgM3vUMrzn,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
29418E5AXPvAibaEXe9WgQQLl7rkk4fctYOOBzzg,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,2,ENG01
99DFF379XPvAibaEXe9WgQQLl7rkk3xiov9KwR/h,1998.0,1.0,0.0,11.0,KTPM0001,CQUI,1,THPT,Khu vực 2,1,ENG01
A15DA8F6XPvAibaEXe9WgQQLl7rkk+hRH2dNOhqK,1998.0,1.0,0.0,11.0,HTTT0001,CTTT,0,THPT,Khu vực 2,4,ENG01
2A0595D9XPvAibaEXe/YiexZYoq8n+O9NW7PU1Ee,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THCS&THPT,Khu vực 3,3,ENG01
F47350D9XPvAibaEXe/YiexZYoq8n8FP0R71ulza,1998.0,1.0,0.0,11.0,HTTT0001,CLC,0,THCS&THPT,Khu vực 3,3,ENG01
B7380E4AXPvAibaEXe/YiexZYoq8n1s2gydCY2+d,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
