id,mssv,listening,reading,total,mamh,ghichu
122,5D84A808XPvAibaEXe/04IiIK7okBVnVDuMtAOeG,,,38.0,,
123,12C6CEBDXPvAibaEXe8HWu5TvPOfaHJ8WggqhfpV,,,38.0,,
124,47C7F0D8XPvAibaEXe8cJKtXZaLmvW7+9X9I1l88,,,39.0,,
125,62CB9074XPvAibaEXe+5AEinM7he3lQjjwdeAKvG,,,39.0,,
126,63850E1DXPvAibaEXe9uaaZ/YedHVMbH1bo0wP7i,,,40.0,,
127,BCD2B356XPvAibaEXe/UTqPTjBxFVlHUdLueHP1K,,,40.0,,
128,ED940AE5XPvAibaEXe/sW+jVmHnQGmpcv505KQtY,,,40.0,,
129,0DB26593XPvAibaEXe+fEAEfw3o+Koj1aryhxwXB,,,42.0,,
130,37E8854FXPvAibaEXe93t/fGOsRpn2pIVjPlvyxA,,,42.0,,
131,260F89E3XPvAibaEXe904Wq1lYkfi3SWlgS7D671,,,43.0,,
132,50710A05XPvAibaEXe+5AEinM7he3i2ud45eDBqh,,,43.0,,
133,F0261509XPvAibaEXe+eIy6TmCsZu0RLWC8H9A9f,,,43.0,,
134,B280054FXPvAibaEXe/aqMXYDLKHRx1deGanA5Uq,,,44.0,,
135,88F1979DXPvAibaEXe9uaaZ/YedHVLTpfQz3FFXG,,,46.0,,
136,962B588DXPvAibaEXe8808q51BnmQv7uo+CT+yEW,,,47.0,,
137,8A06BCB7XPvAibaEXe+/1KYXP+fweAfbWbYeLDhP,,,48.0,,
138,FC15E78FXPvAibaEXe92C4qaj9kvH9Xq+b0SgU4o,,,49.0,,
139,CD72A72AXPvAibaEXe/sW+jVmHnQGj7x1GbslKUs,,,50.0,,
140,82778F75XPvAibaEXe93t/fGOsRpn50R4yA7HNuJ,,,51.0,,
141,9E8D0CE7XPvAibaEXe+/1KYXP+fweLFNn49rOazP,,,51.0,,
142,017CD572XPvAibaEXe9CFhTkHod3yQuYGl3Dx7Ko,,,51.0,,
143,E5DDE060XPvAibaEXe/7YVAxOsMwOgzKuxoPANYq,,,52.0,,
144,A3B55E76XPvAibaEXe/7YVAxOsMwOlSm2jrgLdri,,,53.0,,
145,F9F00F9BXPvAibaEXe/7YVAxOsMwOkCUOyzVAIdc,,,54.0,,
146,EF351515XPvAibaEXe9CFhTkHod3yS5z1VDkCy75,,,54.0,,
147,FA26D15DXPvAibaEXe+x/3KKGWxYH5f+BLhTctEV,,,55.0,,
148,77AA22BDXPvAibaEXe/5h0vZw0NHLw1SiBz29uk2,,,56.0,,
149,41879EDBXPvAibaEXe8HWu5TvPOfaMIlvMjXTKxE,,,58.0,,
150,7605FEEEXPvAibaEXe8808q51BnmQv/RCCjB4N+s,,,59.0,,
151,92D79C05XPvAibaEXe+x/3KKGWxYH9g/4fJgJYs6,,,60.0,,
152,62BFFE2EXPvAibaEXe/9ugxkUZcLfPe37BSUxSyd,,,0.0,AVSC,
153,2D9401D8XPvAibaEXe9wxm0WjsXoKi8Gkvb5OPeR,,,11.0,AVSC,
154,59F1708DXPvAibaEXe+dMotnUFI9LS1TYt9joenk,,,11.0,AVSC,
155,EA1D81AFXPvAibaEXe/RnFf25EKRr7/Z28Po+End,,,13.0,AVSC,
156,9FA1AF84XPvAibaEXe9JJ0DEqozv6EHh9Z2rxnaz,,,14.0,AVSC,
161,192E4235XPvAibaEXe92Jin2iMtHChKANAao8ZUk,,,15.0,AVSC,
162,A3609609XPvAibaEXe/5h0vZw0NHL1nnBX6fWEJQ,,,15.0,AVSC,
164,CFD92B12XPvAibaEXe8NrxrmA741rwjdaY15+2D+,,,16.0,AVSC,
165,61180195XPvAibaEXe9gcLLHJLBBnR5wpoU3apq+,,,16.0,AVSC,
166,02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,,,16.0,AVSC,
167,4152FE50XPvAibaEXe9G2n4phUxISJmNzq1KHgOO,,,16.0,AVSC,
168,B5B671BFXPvAibaEXe8Ve7JqRML75doVJ2SaEcz4,,,16.0,AVSC,
169,BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,,,16.0,AVSC,
170,973154C3XPvAibaEXe+Y2Dmraxe1iYT8oxNVsVdy,,,16.0,AVSC,
172,D9B44B1CXPvAibaEXe9ASX2YKqk5Aeh+/OS8HqTX,,,16.0,AVSC,
173,5F015460XPvAibaEXe/5h0vZw0NHL3rTJlBbR6W0,,,17.0,AVSC,
174,32180497XPvAibaEXe/t7ClCI88v7sGEqCvtpJrq,,,17.0,AVSC,
