id,mssv,tinhtrang,lydo,hocky,namhoc,soqd,ngayqd
7649,3EC4C95DXPvAibaEXe+Xxbs4kvH/k298KMqSjXz6,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7650,47D6DC8BXPvAibaEXe8VdV75E6kcrmlVENOwEPKK,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7651,48A22F9BXPvAibaEXe8oOckqmsrcbcSOt0BVGgjK,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7652,2D57A854XPvAibaEXe8WdGcsQTF3yDJk01mdVJzW,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7653,A8F153C6XPvAibaEXe9cYfl6D6BtPHGCj6z6qL7j,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7654,C386EE73XPvAibaEXe+HeL85QGo03ZNOv3tVjTb1,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7655,F0A647A5XPvAibaEXe+VDSoAYozpwxu4EUSrr8sK,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7656,AAF15D98XPvAibaEXe/X5ZhFzI36lAEFPRLVuRrt,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7657,882FB1B0XPvAibaEXe8y6/RMXZRwBebw/cEMIAJK,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7658,FB9D4C87XPvAibaEXe9W7fV/x7qyQPlsuf/c/sw3,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7659,373C7479XPvAibaEXe++bDwPCni17uzurhujbpFF,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
